locus,allele_id,comments
23S_rRNA,523,_23S_rRNA
23S_rRNA,524,_23S_rRNA
23S_rRNA,525,_23S_rRNA
23S_rRNA,526,_23S_rRNA
23S_rRNA,527,_23S_rRNA
23S_rRNA,528,_23S_rRNA
23S_rRNA,529,_23S_rRNA
23S_rRNA,530,_23S_rRNA
23S_rRNA,531,_23S_rRNA
23S_rRNA,1113,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,1114,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,1115,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,1116,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,1117,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,1118,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,1119,mutations: C2599→T: NO; A2047→G: NO
23S_rRNA,10,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,231,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,234,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,387,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,430,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,435,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,457,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,477,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,521,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,533,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,1107,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,1108,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,1109,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,1110,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,473,mutations: C2599→T: NO; A2143→G: NO
23S_rRNA,456,mutations: C2599→T: NO; A2143→G: YES
23S_rRNA,532,mutations: C2599→T: NO; A2143→G: YES
23S_rRNA,1111,mutations: C2599→T: NO; A2143→G: YES
23S_rRNA,431,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,432,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,436,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,439,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,465,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,466,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,489,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,505,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,1112,mutations: C2599→T: YES; A2143→G: NO
23S_rRNA,1,
23S_rRNA,2,
23S_rRNA,3,
23S_rRNA,4,
23S_rRNA,5,
23S_rRNA,6,
23S_rRNA,7,
23S_rRNA,8,
23S_rRNA,9,
23S_rRNA,11,
23S_rRNA,12,
23S_rRNA,13,
23S_rRNA,14,
23S_rRNA,15,
23S_rRNA,16,
23S_rRNA,17,
23S_rRNA,18,
23S_rRNA,19,
23S_rRNA,20,
23S_rRNA,21,
23S_rRNA,22,
23S_rRNA,23,
23S_rRNA,24,
23S_rRNA,25,
23S_rRNA,26,
23S_rRNA,27,
23S_rRNA,28,
23S_rRNA,29,
23S_rRNA,30,
23S_rRNA,31,
23S_rRNA,32,
23S_rRNA,33,
23S_rRNA,34,
23S_rRNA,35,
23S_rRNA,36,
23S_rRNA,37,
23S_rRNA,38,
23S_rRNA,39,
23S_rRNA,40,
23S_rRNA,41,
23S_rRNA,42,
23S_rRNA,43,
23S_rRNA,44,
23S_rRNA,45,
23S_rRNA,46,
23S_rRNA,47,
23S_rRNA,48,
23S_rRNA,49,
23S_rRNA,50,
23S_rRNA,51,
23S_rRNA,52,
23S_rRNA,53,
23S_rRNA,54,
23S_rRNA,55,
23S_rRNA,56,
23S_rRNA,57,
23S_rRNA,58,
23S_rRNA,59,
23S_rRNA,60,
23S_rRNA,61,
23S_rRNA,62,
23S_rRNA,63,
23S_rRNA,64,
23S_rRNA,65,
23S_rRNA,66,
23S_rRNA,67,
23S_rRNA,68,
23S_rRNA,69,
23S_rRNA,70,
23S_rRNA,71,
23S_rRNA,72,
23S_rRNA,73,
23S_rRNA,74,
23S_rRNA,75,
23S_rRNA,76,
23S_rRNA,77,
23S_rRNA,78,
23S_rRNA,79,
23S_rRNA,80,
23S_rRNA,81,
23S_rRNA,82,
23S_rRNA,83,
23S_rRNA,84,
23S_rRNA,85,
23S_rRNA,86,
23S_rRNA,87,
23S_rRNA,88,
23S_rRNA,89,
23S_rRNA,90,
23S_rRNA,91,
23S_rRNA,92,
23S_rRNA,93,
23S_rRNA,94,
23S_rRNA,95,
23S_rRNA,96,
23S_rRNA,97,
23S_rRNA,98,
23S_rRNA,99,
23S_rRNA,100,
23S_rRNA,101,
23S_rRNA,102,
23S_rRNA,103,
23S_rRNA,104,
23S_rRNA,105,
23S_rRNA,106,
23S_rRNA,107,
23S_rRNA,108,
23S_rRNA,109,
23S_rRNA,110,
23S_rRNA,111,
23S_rRNA,112,
23S_rRNA,113,
23S_rRNA,114,
23S_rRNA,115,
23S_rRNA,116,
23S_rRNA,117,
23S_rRNA,118,
23S_rRNA,119,
23S_rRNA,120,
23S_rRNA,121,
23S_rRNA,122,
23S_rRNA,123,
23S_rRNA,124,
23S_rRNA,125,
23S_rRNA,126,
23S_rRNA,127,
23S_rRNA,128,
23S_rRNA,129,
23S_rRNA,130,
23S_rRNA,131,
23S_rRNA,132,
23S_rRNA,133,
23S_rRNA,134,
23S_rRNA,135,
23S_rRNA,136,
23S_rRNA,137,
23S_rRNA,138,
23S_rRNA,139,
23S_rRNA,140,
23S_rRNA,141,
23S_rRNA,142,
23S_rRNA,143,
23S_rRNA,144,
23S_rRNA,145,
23S_rRNA,146,
23S_rRNA,147,
23S_rRNA,148,
23S_rRNA,149,
23S_rRNA,150,
23S_rRNA,151,
23S_rRNA,152,
23S_rRNA,153,
23S_rRNA,154,
23S_rRNA,155,
23S_rRNA,156,
23S_rRNA,157,
23S_rRNA,158,
23S_rRNA,159,
23S_rRNA,160,
23S_rRNA,161,
23S_rRNA,162,
23S_rRNA,163,
23S_rRNA,164,
23S_rRNA,165,
23S_rRNA,166,
23S_rRNA,167,
23S_rRNA,168,
23S_rRNA,169,
23S_rRNA,170,
23S_rRNA,171,
23S_rRNA,172,
23S_rRNA,173,
23S_rRNA,174,
23S_rRNA,175,
23S_rRNA,176,
23S_rRNA,177,
23S_rRNA,178,
23S_rRNA,179,
23S_rRNA,180,
23S_rRNA,181,
23S_rRNA,182,
23S_rRNA,183,
23S_rRNA,184,
23S_rRNA,185,
23S_rRNA,186,
23S_rRNA,187,
23S_rRNA,188,
23S_rRNA,189,
23S_rRNA,190,
23S_rRNA,191,
23S_rRNA,192,
23S_rRNA,193,
23S_rRNA,194,
23S_rRNA,195,
23S_rRNA,196,
23S_rRNA,197,
23S_rRNA,198,
