NEIS1635,species,label
165,#0432FF,N.meningitidis
157,#0432FF,N.meningitidis
2174,#0432FF,N.meningitidis
287,#0432FF,N.meningitidis
2578,#0432FF,N.meningitidis
2475,#0432FF,N.meningitidis
1922,#0432FF,N.meningitidis
209,#0432FF,N.meningitidis
2396,#0432FF,N.meningitidis
2364,#0432FF,N.meningitidis
2390,#0432FF,N.meningitidis
214,#0432FF,N.meningitidis
261,#0432FF,N.meningitidis
301,#0432FF,N.meningitidis
10,#0432FF,N.meningitidis
494,#0432FF,N.meningitidis
460,#0432FF,N.meningitidis
2807,#0432FF,N.meningitidis
2497,#0432FF,N.meningitidis
164,#0432FF,N.meningitidis
577,#0432FF,N.meningitidis
2786,#0432FF,N.meningitidis
2042,#0432FF,N.meningitidis
383,#0432FF,N.meningitidis
2095,#0432FF,N.meningitidis
454,#0432FF,N.meningitidis
391,#0432FF,N.meningitidis
285,#0432FF,N.meningitidis
160,#0432FF,N.meningitidis
54,#0432FF,N.meningitidis
2060,#0432FF,N.meningitidis
499,#0432FF,N.meningitidis
496,#0432FF,N.meningitidis
131,#0432FF,N.meningitidis
253,#0432FF,N.meningitidis
1052,#0432FF,N.meningitidis
332,#0432FF,N.meningitidis
509,#0432FF,N.meningitidis
1030,#0432FF,N.meningitidis
25,#0432FF,N.meningitidis
787,#0432FF,N.meningitidis
244,#0432FF,N.meningitidis
2439,#0432FF,N.meningitidis
536,#0432FF,N.meningitidis
149,#0432FF,N.meningitidis
2571,#0432FF,N.meningitidis
2626,#0432FF,N.meningitidis
26,#0432FF,N.meningitidis
2625,#0432FF,N.meningitidis
408,#0432FF,N.meningitidis
61,#0432FF,N.meningitidis
2584,#0432FF,N.meningitidis
2738,#0432FF,N.meningitidis
2705,#0432FF,N.meningitidis
2358,#0432FF,N.meningitidis
2035,#0432FF,N.meningitidis
328,#0432FF,N.meningitidis
396,#0432FF,N.meningitidis
2644,#0432FF,N.meningitidis
2614,#0432FF,N.meningitidis
134,#0432FF,N.meningitidis
2576,#0432FF,N.meningitidis
1082,#0432FF,N.meningitidis
1027,#0432FF,N.meningitidis
262,#0432FF,N.meningitidis
1949,#0432FF,N.meningitidis
2582,#0432FF,N.meningitidis
739,#0432FF,N.meningitidis
2444,#0432FF,N.meningitidis
1960,#0432FF,N.meningitidis
2553,#0432FF,N.meningitidis
1042,#0432FF,N.meningitidis
2105,#0432FF,N.meningitidis
1565,#0432FF,N.meningitidis
542,#0432FF,N.meningitidis
1940,#0432FF,N.meningitidis
513,#0432FF,N.meningitidis
2561,#0432FF,N.meningitidis
2769,#0432FF,N.meningitidis
1066,#0432FF,N.meningitidis
2441,#0432FF,N.meningitidis
304,#0432FF,N.meningitidis
283,#0432FF,N.meningitidis
1225,#0432FF,N.meningitidis
2513,#0432FF,N.meningitidis
1274,#FF9300,N.lactamica
911,#FF9300,N.lactamica
964,#00FA00,Multiple
609,#00FA00,Multiple
2798,#0432FF,N.meningitidis
2536,#0432FF,N.meningitidis
1976,#0432FF,N.meningitidis
345,#0432FF,N.meningitidis
331,#0432FF,N.meningitidis
432,#0432FF,N.meningitidis
1020,#0432FF,N.meningitidis
1054,#0432FF,N.meningitidis
2229,#FF9300,N.lactamica
2834,#0432FF,N.meningitidis
2727,#0432FF,N.meningitidis
2612,#0432FF,N.meningitidis
1956,#0432FF,N.meningitidis
2675,#0432FF,N.meningitidis
2621,#0432FF,N.meningitidis
1011,#0432FF,N.meningitidis
2437,#0432FF,N.meningitidis
417,#0432FF,N.meningitidis
2717,#0432FF,N.meningitidis
1981,#0432FF,N.meningitidis
2710,#0432FF,N.meningitidis
2813,#0432FF,N.meningitidis
2107,#0432FF,N.meningitidis
2640,#0432FF,N.meningitidis
1016,#0432FF,N.meningitidis
2134,#0432FF,N.meningitidis
117,#0432FF,N.meningitidis
606,#0432FF,N.meningitidis
605,#0432FF,N.meningitidis
2572,#0432FF,N.meningitidis
2057,#0432FF,N.meningitidis
2467,#0432FF,N.meningitidis
112,#0432FF,N.meningitidis
2400,#0432FF,N.meningitidis
114,#0432FF,N.meningitidis
2387,#0432FF,N.meningitidis
2401,#0432FF,N.meningitidis
2631,#0432FF,N.meningitidis
462,#0432FF,N.meningitidis
2797,#0432FF,N.meningitidis
2549,#0432FF,N.meningitidis
2495,#0432FF,N.meningitidis
350,#0432FF,N.meningitidis
1084,#0432FF,N.meningitidis
171,#0432FF,N.meningitidis
1912,#0432FF,N.meningitidis
862,#00FDFF,N.polysaccharea
755,#FF9300,N.lactamica
216,#0432FF,N.meningitidis
2000,#0432FF,N.meningitidis
1559,#0432FF,N.meningitidis
2673,#0432FF,N.meningitidis
2594,#0432FF,N.meningitidis
2754,#0432FF,N.meningitidis
1040,#0432FF,N.meningitidis
282,#0432FF,N.meningitidis
592,#0432FF,N.meningitidis
2100,#0432FF,N.meningitidis
2146,#0432FF,N.meningitidis
798,#0432FF,N.meningitidis
2469,#0432FF,N.meningitidis
2836,#0432FF,N.meningitidis
2660,#0432FF,N.meningitidis
2367,#0432FF,N.meningitidis
2632,#0432FF,N.meningitidis
2551,#0432FF,N.meningitidis
2185,#0432FF,N.meningitidis
2136,#0432FF,N.meningitidis
2752,#0432FF,N.meningitidis
208,#0432FF,N.meningitidis
2560,#0432FF,N.meningitidis
2825,#0432FF,N.meningitidis
467,#0432FF,N.meningitidis
2188,#0432FF,N.meningitidis
337,#0432FF,N.meningitidis
1053,#0432FF,N.meningitidis
241,#0432FF,N.meningitidis
786,#0432FF,N.meningitidis
47,#0432FF,N.meningitidis
2521,#0432FF,N.meningitidis
11,#00FA00,Multiple
2071,#0432FF,N.meningitidis
2404,#0432FF,N.meningitidis
2392,#0432FF,N.meningitidis
2476,#0432FF,N.meningitidis
2694,#0432FF,N.meningitidis
2414,#0432FF,N.meningitidis
1223,#0432FF,N.meningitidis
264,#0432FF,N.meningitidis
784,#0432FF,N.meningitidis
199,#0432FF,N.meningitidis
732,#0432FF,N.meningitidis
1010,#0432FF,N.meningitidis
505,#0432FF,N.meningitidis
458,#0432FF,N.meningitidis
2666,#0432FF,N.meningitidis
272,#0432FF,N.meningitidis
2026,#0432FF,N.meningitidis
537,#0432FF,N.meningitidis
66,#0432FF,N.meningitidis
2474,#0432FF,N.meningitidis
132,#0432FF,N.meningitidis
403,#0432FF,N.meningitidis
1984,#0432FF,N.meningitidis
2193,#0432FF,N.meningitidis
2732,#0432FF,N.meningitidis
2080,#0432FF,N.meningitidis
1229,#0432FF,N.meningitidis
227,#0432FF,N.meningitidis
2005,#0432FF,N.meningitidis
531,#0432FF,N.meningitidis
2814,#0432FF,N.meningitidis
2739,#0432FF,N.meningitidis
2141,#0432FF,N.meningitidis
2544,#0432FF,N.meningitidis
472,#0432FF,N.meningitidis
2384,#0432FF,N.meningitidis
172,#0432FF,N.meningitidis
2726,#0432FF,N.meningitidis
2484,#0432FF,N.meningitidis
1039,#0432FF,N.meningitidis
2375,#0432FF,N.meningitidis
2712,#0432FF,N.meningitidis
225,#0432FF,N.meningitidis
48,#0432FF,N.meningitidis
769,#0432FF,N.meningitidis
2369,#0432FF,N.meningitidis
728,#00FA00,Multiple
2504,#0432FF,N.meningitidis
572,#0432FF,N.meningitidis
1336,#0432FF,N.meningitidis
68,#0432FF,N.meningitidis
139,#0432FF,N.meningitidis
2047,#0432FF,N.meningitidis
212,#0432FF,N.meningitidis
482,#0432FF,N.meningitidis
2597,#0432FF,N.meningitidis
1059,#0432FF,N.meningitidis
1012,#0432FF,N.meningitidis
2648,#0432FF,N.meningitidis
1943,#0432FF,N.meningitidis
1080,#0432FF,N.meningitidis
2151,#0432FF,N.meningitidis
2577,#0432FF,N.meningitidis
1077,#0432FF,N.meningitidis
35,#0432FF,N.meningitidis
1966,#0432FF,N.meningitidis
270,#0432FF,N.meningitidis
255,#0432FF,N.meningitidis
1026,#0432FF,N.meningitidis
1932,#0432FF,N.meningitidis
2054,#0432FF,N.meningitidis
2600,#0432FF,N.meningitidis
1918,#0432FF,N.meningitidis
2719,#0432FF,N.meningitidis
2481,#0432FF,N.meningitidis
2140,#0432FF,N.meningitidis
635,#0432FF,N.meningitidis
198,#0432FF,N.meningitidis
1964,#0432FF,N.meningitidis
233,#0432FF,N.meningitidis
168,#0432FF,N.meningitidis
44,#0432FF,N.meningitidis
2499,#0432FF,N.meningitidis
2695,#0432FF,N.meningitidis
1916,#0432FF,N.meningitidis
107,#0432FF,N.meningitidis
529,#0432FF,N.meningitidis
313,#0432FF,N.meningitidis
152,#0432FF,N.meningitidis
2077,#00FA00,Multiple
948,#0432FF,N.meningitidis
449,#FF2600,N.gonorrhoeae
539,#FF2600,N.gonorrhoeae
890,#FF2600,N.gonorrhoeae
194,#FF2600,N.gonorrhoeae
2679,#0432FF,N.meningitidis
2070,#0432FF,N.meningitidis
2772,#0432FF,N.meningitidis
65,#0432FF,N.meningitidis
400,#0432FF,N.meningitidis
2672,#0432FF,N.meningitidis
2596,#0432FF,N.meningitidis
175,#0432FF,N.meningitidis
517,#0432FF,N.meningitidis
169,#0432FF,N.meningitidis
2540,#0432FF,N.meningitidis
267,#0432FF,N.meningitidis
1980,#0432FF,N.meningitidis
412,#0432FF,N.meningitidis
2678,#0432FF,N.meningitidis
323,#0432FF,N.meningitidis
1071,#0432FF,N.meningitidis
1944,#0432FF,N.meningitidis
985,#0432FF,N.meningitidis
2831,#0432FF,N.meningitidis
31,#0432FF,N.meningitidis
2753,#0432FF,N.meningitidis
2094,#0432FF,N.meningitidis
1985,#0432FF,N.meningitidis
1019,#0432FF,N.meningitidis
1285,#0432FF,N.meningitidis
2635,#0432FF,N.meningitidis
273,#0432FF,N.meningitidis
205,#0432FF,N.meningitidis
1997,#0432FF,N.meningitidis
2729,#0432FF,N.meningitidis
2773,#0432FF,N.meningitidis
2623,#0432FF,N.meningitidis
109,#0432FF,N.meningitidis
2704,#0432FF,N.meningitidis
2436,#0432FF,N.meningitidis
1919,#0432FF,N.meningitidis
258,#0432FF,N.meningitidis
501,#0432FF,N.meningitidis
2808,#0432FF,N.meningitidis
2821,#0432FF,N.meningitidis
321,#0432FF,N.meningitidis
1001,#0432FF,N.meningitidis
574,#0432FF,N.meningitidis
2063,#0432FF,N.meningitidis
2563,#0432FF,N.meningitidis
2133,#0432FF,N.meningitidis
398,#0432FF,N.meningitidis
476,#0432FF,N.meningitidis
1926,#0432FF,N.meningitidis
1341,#0432FF,N.meningitidis
1075,#0432FF,N.meningitidis
792,#0432FF,N.meningitidis
430,#00FDFF,N.polysaccharea
256,#0432FF,N.meningitidis
2378,#0432FF,N.meningitidis
2130,#0432FF,N.meningitidis
2187,#0432FF,N.meningitidis
49,#0432FF,N.meningitidis
2733,#0432FF,N.meningitidis
495,#0432FF,N.meningitidis
2697,#0432FF,N.meningitidis
516,#0432FF,N.meningitidis
756,#0432FF,N.meningitidis
2430,#0432FF,N.meningitidis
2336,#0432FF,N.meningitidis
2386,#0432FF,N.meningitidis
852,#0432FF,N.meningitidis
266,#0432FF,N.meningitidis
2389,#0432FF,N.meningitidis
1973,#0432FF,N.meningitidis
50,#0432FF,N.meningitidis
2049,#0432FF,N.meningitidis
344,#0432FF,N.meningitidis
1991,#0432FF,N.meningitidis
1945,#0432FF,N.meningitidis
2588,#0432FF,N.meningitidis
2402,#0432FF,N.meningitidis
1000,#0432FF,N.meningitidis
170,#0432FF,N.meningitidis
2337,#0432FF,N.meningitidis
2643,#0432FF,N.meningitidis
2359,#0432FF,N.meningitidis
2763,#0432FF,N.meningitidis
2171,#0432FF,N.meningitidis
2048,#0432FF,N.meningitidis
2638,#0432FF,N.meningitidis
1058,#0432FF,N.meningitidis
2399,#0432FF,N.meningitidis
409,#0432FF,N.meningitidis
116,#0432FF,N.meningitidis
2170,#0432FF,N.meningitidis
269,#0432FF,N.meningitidis
2480,#0432FF,N.meningitidis
2820,#0432FF,N.meningitidis
2416,#0432FF,N.meningitidis
2518,#0432FF,N.meningitidis
1967,#0432FF,N.meningitidis
2016,#0432FF,N.meningitidis
2619,#0432FF,N.meningitidis
161,#0432FF,N.meningitidis
2073,#0432FF,N.meningitidis
461,#0432FF,N.meningitidis
2634,#0432FF,N.meningitidis
220,#0432FF,N.meningitidis
794,#0432FF,N.meningitidis
1031,#0432FF,N.meningitidis
2649,#0432FF,N.meningitidis
2639,#0432FF,N.meningitidis
56,#0432FF,N.meningitidis
111,#0432FF,N.meningitidis
2440,#0432FF,N.meningitidis
280,#0432FF,N.meningitidis
498,#0432FF,N.meningitidis
2687,#0432FF,N.meningitidis
515,#0432FF,N.meningitidis
2483,#0432FF,N.meningitidis
504,#0432FF,N.meningitidis
1078,#0432FF,N.meningitidis
2473,#0432FF,N.meningitidis
2803,#0432FF,N.meningitidis
2425,#0432FF,N.meningitidis
2372,#0432FF,N.meningitidis
1938,#0432FF,N.meningitidis
2822,#0432FF,N.meningitidis
2427,#0432FF,N.meningitidis
2339,#0432FF,N.meningitidis
2689,#0432FF,N.meningitidis
2636,#0432FF,N.meningitidis
1069,#0432FF,N.meningitidis
2599,#0432FF,N.meningitidis
2802,#0432FF,N.meningitidis
2373,#0432FF,N.meningitidis
221,#0432FF,N.meningitidis
2692,#0432FF,N.meningitidis
326,#0432FF,N.meningitidis
2506,#0432FF,N.meningitidis
2452,#0432FF,N.meningitidis
2118,#0432FF,N.meningitidis
1947,#0432FF,N.meningitidis
276,#0432FF,N.meningitidis
789,#0432FF,N.meningitidis
2127,#0432FF,N.meningitidis
2548,#0432FF,N.meningitidis
2755,#0432FF,N.meningitidis
155,#0432FF,N.meningitidis
110,#0432FF,N.meningitidis
1005,#0432FF,N.meningitidis
2376,#0432FF,N.meningitidis
2429,#0432FF,N.meningitidis
115,#0432FF,N.meningitidis
527,#0432FF,N.meningitidis
300,#0432FF,N.meningitidis
2398,#0432FF,N.meningitidis
9,#00FA00,Multiple
2428,#0432FF,N.meningitidis
183,#0432FF,N.meningitidis
2159,#0432FF,N.meningitidis
799,#0432FF,N.meningitidis
2768,#0432FF,N.meningitidis
2424,#0432FF,N.meningitidis
268,#0432FF,N.meningitidis
2431,#0432FF,N.meningitidis
1050,#0432FF,N.meningitidis
2451,#0432FF,N.meningitidis
2680,#0432FF,N.meningitidis
796,#0432FF,N.meningitidis
2637,#0432FF,N.meningitidis
2686,#0432FF,N.meningitidis
319,#FF9300,N.lactamica
248,#0432FF,N.meningitidis
988,#0432FF,N.meningitidis
1085,#0432FF,N.meningitidis
2139,#0432FF,N.meningitidis
2341,#0432FF,N.meningitidis
254,#0432FF,N.meningitidis
286,#0432FF,N.meningitidis
373,#FF2600,N.gonorrhoeae
2706,#0432FF,N.meningitidis
2522,#0432FF,N.meningitidis
2216,#0432FF,N.meningitidis
2145,#0432FF,N.meningitidis
2665,#0432FF,N.meningitidis
52,#0432FF,N.meningitidis
51,#0432FF,N.meningitidis
2507,#0432FF,N.meningitidis
2533,#0432FF,N.meningitidis
213,#0432FF,N.meningitidis
2138,#0432FF,N.meningitidis
2595,#0432FF,N.meningitidis
55,#0432FF,N.meningitidis
2149,#0432FF,N.meningitidis
2154,#0432FF,N.meningitidis
388,#0432FF,N.meningitidis
545,#0432FF,N.meningitidis
1906,#0432FF,N.meningitidis
2,#0432FF,N.meningitidis
2546,#0432FF,N.meningitidis
2830,#0432FF,N.meningitidis
43,#0432FF,N.meningitidis
2368,#0432FF,N.meningitidis
2102,#0432FF,N.meningitidis
1015,#0432FF,N.meningitidis
2805,#0432FF,N.meningitidis
455,#0432FF,N.meningitidis
2531,#0432FF,N.meningitidis
174,#0432FF,N.meningitidis
387,#0432FF,N.meningitidis
2627,#0432FF,N.meningitidis
185,#0432FF,N.meningitidis
22,#0432FF,N.meningitidis
167,#0432FF,N.meningitidis
2765,#0432FF,N.meningitidis
339,#0432FF,N.meningitidis
2434,#0432FF,N.meningitidis
184,#0432FF,N.meningitidis
2589,#0432FF,N.meningitidis
2382,#0432FF,N.meningitidis
2720,#0432FF,N.meningitidis
2609,#0432FF,N.meningitidis
2144,#0432FF,N.meningitidis
2775,#0432FF,N.meningitidis
585,#0432FF,N.meningitidis
394,#0432FF,N.meningitidis
2586,#0432FF,N.meningitidis
526,#0432FF,N.meningitidis
1023,#0432FF,N.meningitidis
2745,#0432FF,N.meningitidis
530,#0432FF,N.meningitidis
1009,#0432FF,N.meningitidis
1036,#0432FF,N.meningitidis
2397,#0432FF,N.meningitidis
2606,#0432FF,N.meningitidis
2543,#0432FF,N.meningitidis
148,#0432FF,N.meningitidis
2742,#0432FF,N.meningitidis
2737,#0432FF,N.meningitidis
2093,#0432FF,N.meningitidis
2508,#0432FF,N.meningitidis
229,#0432FF,N.meningitidis
2598,#0432FF,N.meningitidis
2698,#0432FF,N.meningitidis
385,#0432FF,N.meningitidis
53,#00FA00,Multiple
815,#0432FF,N.meningitidis
2608,#0432FF,N.meningitidis
814,#0432FF,N.meningitidis
2114,#0432FF,N.meningitidis
392,#0432FF,N.meningitidis
1046,#0432FF,N.meningitidis
2530,#0432FF,N.meningitidis
305,#0432FF,N.meningitidis
2541,#0432FF,N.meningitidis
1017,#0432FF,N.meningitidis
2534,#0432FF,N.meningitidis
602,#0432FF,N.meningitidis
2793,#0432FF,N.meningitidis
528,#0432FF,N.meningitidis
438,#0432FF,N.meningitidis
2524,#0432FF,N.meningitidis
2532,#0432FF,N.meningitidis
1062,#0432FF,N.meningitidis
1063,#0432FF,N.meningitidis
459,#0432FF,N.meningitidis
636,#0432FF,N.meningitidis
133,#0432FF,N.meningitidis
2527,#0432FF,N.meningitidis
2413,#0432FF,N.meningitidis
548,#0432FF,N.meningitidis
2746,#0432FF,N.meningitidis
743,#0432FF,N.meningitidis
2455,#0432FF,N.meningitidis
996,#0432FF,N.meningitidis
141,#0432FF,N.meningitidis
2519,#0432FF,N.meningitidis
2454,#0432FF,N.meningitidis
479,#0432FF,N.meningitidis
1996,#0432FF,N.meningitidis
315,#0432FF,N.meningitidis
2622,#0432FF,N.meningitidis
42,#0432FF,N.meningitidis
310,#0432FF,N.meningitidis
418,#0432FF,N.meningitidis
309,#0432FF,N.meningitidis
1921,#0432FF,N.meningitidis
393,#0432FF,N.meningitidis
2630,#0432FF,N.meningitidis
2526,#0432FF,N.meningitidis
2591,#0432FF,N.meningitidis
554,#0432FF,N.meningitidis
2169,#0432FF,N.meningitidis
2092,#0432FF,N.meningitidis
2750,#0432FF,N.meningitidis
555,#0432FF,N.meningitidis
416,#0432FF,N.meningitidis
2356,#0432FF,N.meningitidis
793,#0432FF,N.meningitidis
1977,#0432FF,N.meningitidis
386,#0432FF,N.meningitidis
2523,#0432FF,N.meningitidis
41,#00FA00,Multiple
754,#0432FF,N.meningitidis
593,#0432FF,N.meningitidis
1942,#0432FF,N.meningitidis
1033,#0432FF,N.meningitidis
1,#0432FF,N.meningitidis
766,#0432FF,N.meningitidis
510,#0432FF,N.meningitidis
320,#0432FF,N.meningitidis
224,#0432FF,N.meningitidis
2024,#0432FF,N.meningitidis
384,#0432FF,N.meningitidis
2164,#0432FF,N.meningitidis
317,#0432FF,N.meningitidis
2542,#0432FF,N.meningitidis
2509,#0432FF,N.meningitidis
1056,#0432FF,N.meningitidis
1091,#0432FF,N.meningitidis
1941,#0432FF,N.meningitidis
2461,#0432FF,N.meningitidis
2510,#0432FF,N.meningitidis
2607,#0432FF,N.meningitidis
1990,#0432FF,N.meningitidis
306,#0432FF,N.meningitidis
314,#0432FF,N.meningitidis
138,#0432FF,N.meningitidis
2505,#0432FF,N.meningitidis
307,#0432FF,N.meningitidis
2388,#0432FF,N.meningitidis
2478,#0432FF,N.meningitidis
2349,#0432FF,N.meningitidis
316,#0432FF,N.meningitidis
497,#0432FF,N.meningitidis
217,#0432FF,N.meningitidis
303,#0432FF,N.meningitidis
1092,#0432FF,N.meningitidis
2617,#0432FF,N.meningitidis
2357,#0432FF,N.meningitidis
2380,#0432FF,N.meningitidis
281,#0432FF,N.meningitidis
511,#0432FF,N.meningitidis
997,#0432FF,N.meningitidis
2104,#0432FF,N.meningitidis
204,#0432FF,N.meningitidis
1948,#00FA00,Multiple
2764,#0432FF,N.meningitidis
1965,#0432FF,N.meningitidis
590,#0432FF,N.meningitidis
2801,#0432FF,N.meningitidis
775,#0432FF,N.meningitidis
2573,#0432FF,N.meningitidis
2601,#0432FF,N.meningitidis
2567,#0432FF,N.meningitidis
2381,#0432FF,N.meningitidis
562,#0432FF,N.meningitidis
2142,#0432FF,N.meningitidis
1988,#0432FF,N.meningitidis
1048,#0432FF,N.meningitidis
2115,#0432FF,N.meningitidis
2033,#0432FF,N.meningitidis
556,#0432FF,N.meningitidis
2488,#0432FF,N.meningitidis
7,#00FA00,Multiple
2438,#0432FF,N.meningitidis
578,#0432FF,N.meningitidis
2432,#0432FF,N.meningitidis
1934,#0432FF,N.meningitidis
752,#0432FF,N.meningitidis
2618,#0432FF,N.meningitidis
135,#0432FF,N.meningitidis
2512,#0432FF,N.meningitidis
2385,#0432FF,N.meningitidis
29,#0432FF,N.meningitidis
1055,#0432FF,N.meningitidis
1927,#0432FF,N.meningitidis
414,#0432FF,N.meningitidis
2503,#0432FF,N.meningitidis
36,#0432FF,N.meningitidis
181,#0432FF,N.meningitidis
1057,#0432FF,N.meningitidis
2633,#0432FF,N.meningitidis
341,#0432FF,N.meningitidis
1951,#0432FF,N.meningitidis
2516,#0432FF,N.meningitidis
28,#0432FF,N.meningitidis
512,#0432FF,N.meningitidis
534,#0432FF,N.meningitidis
2056,#0432FF,N.meningitidis
2610,#0432FF,N.meningitidis
2711,#0432FF,N.meningitidis
1905,#0432FF,N.meningitidis
173,#0432FF,N.meningitidis
2556,#0432FF,N.meningitidis
2749,#0432FF,N.meningitidis
2155,#0432FF,N.meningitidis
1911,#0432FF,N.meningitidis
2557,#0432FF,N.meningitidis
1974,#0432FF,N.meningitidis
503,#0432FF,N.meningitidis
2458,#0432FF,N.meningitidis
58,#0432FF,N.meningitidis
2816,#0432FF,N.meningitidis
275,#0432FF,N.meningitidis
1560,#0432FF,N.meningitidis
470,#0432FF,N.meningitidis
2147,#0432FF,N.meningitidis
2538,#0432FF,N.meningitidis
72,#0432FF,N.meningitidis
2714,#0432FF,N.meningitidis
1061,#0432FF,N.meningitidis
33,#0432FF,N.meningitidis
277,#0432FF,N.meningitidis
2854,#0432FF,N.meningitidis
1004,#0432FF,N.meningitidis
252,#0432FF,N.meningitidis
634,#0432FF,N.meningitidis
478,#0432FF,N.meningitidis
206,#0432FF,N.meningitidis
1060,#0432FF,N.meningitidis
1024,#0432FF,N.meningitidis
2465,#0432FF,N.meningitidis
1067,#0432FF,N.meningitidis
1962,#0432FF,N.meningitidis
411,#0432FF,N.meningitidis
1086,#0432FF,N.meningitidis
580,#0432FF,N.meningitidis
2062,#0432FF,N.meningitidis
2365,#0432FF,N.meningitidis
1038,#0432FF,N.meningitidis
2564,#0432FF,N.meningitidis
2383,#0432FF,N.meningitidis
70,#0432FF,N.meningitidis
1064,#0432FF,N.meningitidis
552,#0432FF,N.meningitidis
2593,#0432FF,N.meningitidis
2374,#0432FF,N.meningitidis
2741,#0432FF,N.meningitidis
1909,#00FA00,Multiple
2547,#0432FF,N.meningitidis
2550,#0432FF,N.meningitidis
2443,#0432FF,N.meningitidis
471,#0432FF,N.meningitidis
1022,#0432FF,N.meningitidis
162,#0432FF,N.meningitidis
2703,#0432FF,N.meningitidis
2061,#0432FF,N.meningitidis
2740,#0432FF,N.meningitidis
1983,#0432FF,N.meningitidis
483,#0432FF,N.meningitidis
177,#0432FF,N.meningitidis
2433,#0432FF,N.meningitidis
469,#0432FF,N.meningitidis
2574,#0432FF,N.meningitidis
2761,#0432FF,N.meningitidis
63,#0432FF,N.meningitidis
2559,#0432FF,N.meningitidis
2435,#0432FF,N.meningitidis
1013,#0432FF,N.meningitidis
1051,#0432FF,N.meningitidis
203,#0432FF,N.meningitidis
2482,#0432FF,N.meningitidis
1928,#0432FF,N.meningitidis
415,#0432FF,N.meningitidis
998,#0432FF,N.meningitidis
2088,#0432FF,N.meningitidis
1971,#0432FF,N.meningitidis
1366,#0432FF,N.meningitidis
533,#0432FF,N.meningitidis
2669,#0432FF,N.meningitidis
2448,#0432FF,N.meningitidis
274,#0432FF,N.meningitidis
1045,#0432FF,N.meningitidis
2734,#0432FF,N.meningitidis
1954,#0432FF,N.meningitidis
1028,#0432FF,N.meningitidis
2517,#0432FF,N.meningitidis
2498,#0432FF,N.meningitidis
243,#0432FF,N.meningitidis
240,#0432FF,N.meningitidis
263,#0432FF,N.meningitidis
251,#0432FF,N.meningitidis
325,#0432FF,N.meningitidis
502,#0432FF,N.meningitidis
1957,#0432FF,N.meningitidis
464,#0432FF,N.meningitidis
2760,#0432FF,N.meningitidis
218,#0432FF,N.meningitidis
390,#0432FF,N.meningitidis
118,#00FA00,Multiple
2715,#0432FF,N.meningitidis
1220,#0432FF,N.meningitidis
395,#0432FF,N.meningitidis
2645,#0432FF,N.meningitidis
1070,#0432FF,N.meningitidis
288,#0432FF,N.meningitidis
389,#0432FF,N.meningitidis
685,#0432FF,N.meningitidis
1221,#0432FF,N.meningitidis
349,#0432FF,N.meningitidis
